id,kind,tier
a11oy-factory,estate,Factory
anatomy,estate,Creative
ayllu,estate,Core
cosmos,estate,Creative
counsel-assurance,estate,Vertical
energy-attest-holo,estate,Receipts
energy-attested-runs,estate,Receipts
evidence-studio,estate,Core
experiments,estate,Lab
frontier-bench,estate,Bench
gdw-frontier,estate,Frontier
governed-agent-bench,estate,Bench
governed-norm-holo,estate,Bench
governed-receipt-verifier,estate,Receipts
guardrail-receipt,estate,Receipts
hatun-mcp,estate,Core
holographic,estate,Creative
immune,estate,Core
immune-lattice,estate,Core
khipu-lab,estate,Bench
lambda-gate-holo,estate,Core
llm-router-live,estate,LiveOps
lyte-lattice,estate,Vertical
lyte-services,estate,Vertical
nexus,estate,Core
prove-it,estate,Lab
puriq-markets,estate,Vertical
quant-curve,estate,Bench
receipt-chain-live,estate,LiveOps
retrieval-bench,estate,Bench
sda,estate,Vertical
second-brain,estate,Core
szl-atelier,estate,Creative
szl-blocked-live,estate,LiveOps
szl-command-lab,estate,Lab
szl-estate-live,estate,LiveOps
szl-experiments,estate,Lab
szl-forge-lab,estate,Lab
szl-frontier,estate,Frontier
szl-govsign-live,estate,LiveOps
szl-kernels-live,estate,LiveOps
szl-khipu,estate,Core
szl-model-inference-lab,estate,Lab
szl-provctl-live,estate,LiveOps
szl-quant-live,estate,LiveOps
szl-real-estate,estate,Vertical
szl-sovereign-os,estate,Core
terra-assurance,estate,Vertical
yarqa,estate,Core
hub:second_brain,hub,
hub:anatomy,hub,
hub:ouroboros,hub,
vertical:killinchu,vertical,
vertical:sentra,vertical,
vertical:puriq,vertical,
vertical:terra,vertical,
vertical:lyte,vertical,
vertical:counsel,vertical,
vertical:finance,vertical,
vertical:david-leads,vertical,
substrate:platform,substrate,
substrate:szl-substrate,substrate,
substrate:szl-receipt,substrate,
substrate:khipu-consensus,substrate,
substrate:hatun-mcp,substrate,
substrate:szl-frontier,substrate,
substrate:szl-sovereign-os,substrate
